s_sat,rdamm1_ts1,su_ts1,supeca_ts1,rdamm_ts2,su_ts2,supeca_ts2
0.82,0.996,0.747,0.996,0.65,0.659,0.649
0.83,0.992,0.71,0.992,0.57,0.579,0.569
0.84,0.986,0.67,0.986,0.496,0.504,0.495
0.85,0.978,0.626,0.978,0.427,0.435,0.427
0.86,0.967,0.578,0.966,0.364,0.371,0.364
0.87,0.952,0.527,0.952,0.307,0.313,0.307
0.88,0.932,0.473,0.932,0.256,0.261,0.256
0.89,0.907,0.416,0.907,0.209,0.213,0.209
0.9,0.873,0.358,0.873,0.168,0.171,0.168
0.91,0.83,0.3,0.83,0.132,0.135,0.132
0.92,0.773,0.243,0.773,0.101,0.103,0.101
0.93,0.699,0.189,0.699,0.074,0.076,0.074
0.94,0.605,0.139,0.605,0.052,0.053,0.052
0.95,0.49,0.095,0.49,0.034,0.035,0.034
0.96,0.357,0.059,0.357,0.02,0.021,0.02
0.97,0.219,0.031,0.219,0.011,0.011,0.011
0.98,0.1,0.013,0.1,0.004,0.004,0.004
0.99,0.024,0.003,0.024,0.001,0.001,0.001
1,0.003,0,0.003,0,0,0
0,0,0,0,0,0,0
0.01,0.002,0,0.002,0.001,0,0.001
0.02,0.003,0,0.003,0.003,0,0.003
0.03,0.008,0.001,0.008,0.008,0.001,0.008
0.04,0.02,0.002,0.02,0.019,0.002,0.019
0.05,0.039,0.005,0.039,0.038,0.004,0.038
0.06,0.068,0.01,0.068,0.065,0.008,0.065
0.07,0.105,0.016,0.105,0.102,0.014,0.102
0.08,0.148,0.026,0.149,0.144,0.021,0.144
0.09,0.196,0.039,0.196,0.19,0.032,0.19
0.1,0.243,0.055,0.244,0.236,0.045,0.236
0.11,0.289,0.074,0.29,0.281,0.061,0.281
0.12,0.333,0.098,0.333,0.323,0.08,0.323
0.13,0.373,0.124,0.373,0.361,0.102,0.361
0.14,0.409,0.154,0.409,0.397,0.127,0.396
0.15,0.441,0.187,0.442,0.428,0.154,0.428
0.16,0.471,0.221,0.472,0.457,0.182,0.457
0.17,0.498,0.258,0.499,0.483,0.213,0.483
0.18,0.522,0.296,0.523,0.507,0.244,0.507
0.19,0.545,0.335,0.546,0.529,0.276,0.529
0.2,0.566,0.374,0.567,0.549,0.309,0.549
0.21,0.585,0.414,0.586,0.568,0.341,0.568
0.22,0.603,0.452,0.604,0.585,0.373,0.585
0.23,0.619,0.491,0.621,0.602,0.405,0.601
0.24,0.635,0.528,0.637,0.617,0.436,0.617
0.25,0.65,0.564,0.652,0.632,0.466,0.632
0.26,0.664,0.599,0.666,0.645,0.495,0.645
0.27,0.678,0.633,0.68,0.659,0.523,0.659
0.28,0.691,0.665,0.693,0.671,0.55,0.671
0.29,0.703,0.696,0.705,0.683,0.576,0.683
0.3,0.715,0.725,0.717,0.695,0.601,0.695
0.31,0.727,0.753,0.729,0.706,0.624,0.706
0.32,0.738,0.778,0.74,0.717,0.647,0.717
0.33,0.748,0.802,0.751,0.728,0.668,0.727
0.34,0.758,0.824,0.761,0.738,0.688,0.738
0.35,0.768,0.844,0.771,0.747,0.706,0.747
0.36,0.778,0.862,0.78,0.757,0.723,0.757
0.37,0.787,0.878,0.789,0.766,0.74,0.766
0.38,0.796,0.893,0.798,0.775,0.755,0.775
0.39,0.805,0.906,0.807,0.784,0.769,0.784
0.4,0.814,0.918,0.815,0.792,0.782,0.792
0.41,0.822,0.929,0.823,0.8,0.794,0.8
